Stock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,58,59,60,61,62,63
SUNW,342718947.7642007,491680933.7490783,212355271.85338303,312539645.7390156,401740397.1407571,362109717.01736784,369933436.342607,538046579.3991861,326064467.64718723,145738539.36770678,236093681.78065825,349115322.03165865,459024866.1523991,555474688.2306647,176344136.95130968,190073690.48461723,197770176.3414135,198366997.39167595,423716162.0604863,386670617.9988227,412050206.6980233,244797487.54803848,204971302.6521397,307818224.2055488,269056972.6411648,383343332.1487899,356701030.323431,512958684.26113605,1144495408.766336,514210125.69165945,496557040.7019925,464126143.26903534,425588912.45660734,403171609.50020695,337706614.8585563,618864563.3445048,802855137.8007069,431210246.9467993,379885173.5539956,334023895.0544882,698305839.6202283,402049808.1839504,277383558.6716342,226602460.602684,322289647.6077204,430372100.46907854,562701536.6861701,292795448.6103058,194662002.84362796,212514442.03720093,273438815.97824097,303257681.9534302,412817199.0036011,309247833.2953644,184758613.61351013,267237133.78715515,306797803.0380249,240569504.7386169,324244966.1659241,303077270.94688416,411498011.3525391
JAVA,342718947.7642007,491680933.7490783,212355271.85338303,312539645.7390156,401740397.1407571,362109717.01736784,369933436.342607,538046579.3991861,326064467.64718723,145738539.36770678,236093681.78065825,349115322.03165865,459024866.1523991,555474688.2306647,176344136.95130968,190073690.48461723,197770176.3414135,198366997.39167595,423716162.0604863,386670617.9988227,412050206.6980233,244797487.54803848,204971302.6521397,307818224.2055488,269056972.6411648,383343332.1487899,356701030.323431,512958684.26113605,1144495408.766336,514210125.69165945,496557040.7019925,464126143.26903534,425588912.45660734,403171609.50020695,337706614.8585563,618864563.3445048,802855137.8007069,431210246.9467993,379885173.5539956,334023895.0544882,698305839.6202283,402049808.1839504,277383558.6716342,226602460.602684,322289647.6077204,430372100.46907854,562701536.6861701,311549180.31931114,433216227.3289418,351100250.46587944,532119770.3657546,389854463.3514848,535769460.06793165,431570870.3296452,407080095.3773446,865539184.7035131,423250488.2171278,411226223.6635871,361617151.1867376,401723195.7434411,396731812.97965
ORCL,664308697.7442036,526685475.8221207,510944638.09441566,532673463.5423088,777887728.873003,1366245762.1817474,856765980.1964722,564619539.4565601,407317503.5657997,367227737.82668686,679105611.1867275,516592530.1643219,490271348.9404316,526328434.7773666,525607295.48802185,687388095.2469635,449859525.1736069,373595995.9016628,414695380.8856773,562209308.0083275,553805965.3056126,862081506.9904728,576793988.8822689,708719813.9503307,564134170.322134,769459390.3693218,617328061.4402485,388366392.3227577,607571839.0148544,1014029251.5008564,598486706.0135155,652391393.4055309,536983023.68997,611893905.5897388,490482945.78956985,605663946.7633877,691891564.8821602,391868225.3363648,393029204.9403477,477924694.5846214,729496240.3914318,629443287.1016598,399202592.6336002,417831970.90745735,396654996.94750977,576920601.1828918,487307213.836298,342206165.85186195,338899240.30683327,553294049.6378994,575839923.3722687,436816869.0970402,703612654.2805481,596766825.0709648,556655770.576294,587859170.7429962,475013879.5006161,670584249.6985588,442946311.9195824,527335374.7669716,918574102.967741
MSFT,1207640474.0940151,1577985775.4078922,1830092633.7173235,1366685902.5810814,1186706444.0944462,1254049638.5831013,1146716971.6335278,1735884072.9372368,1204735890.735428,882076677.7547703,1266244987.5658798,1396459396.9779282,900119531.2145195,1793730556.2646408,1168935975.5485785,1474479056.90913,1183641935.7049828,1190468722.3883991,2231742327.2605286,1871249590.8346865,3424881224.2272854,2706827075.458464,1460552020.6684113,1617140533.9366815,1577518954.9802952,2190652554.42416,1804880345.865864,1707109255.7889347,1633716735.3145676,2129471955.2173576,1309583744.6785736,1622284895.1323795,1599487373.219061,1278555868.180605,1355798100.9993134,2023770509.1791325,2101343795.184265,1253621470.3184147,1048488059.3033656,1244359645.3099556,1912118660.7413807,1827261635.7724516,1188297820.7994385,1234094973.869511,1025119503.4896184,903337500.1815186,1155202966.181261,708983412.3117771,957725576.9725932,1074947955.980753,878809675.3931026,986975737.078949,1191606944.528038,1167568382.6943226,1145500241.483755,1023456722.2020148,894609280.7678127,859413212.4048157,1056416181.2906436,1949212793.5007725,2499457481.6865253
AYE,53357146.357364655,44655240.49430847,68532416.94765091,79568225.9323883,97855166.42189026,57777277.97203064,72835497.9851265,75521596.38214111,75855421.95376587,33550084.829711918,57209138.72718811,49870246.89865112,58298608.73413086,58782199.04060364,38173642.66357422,44680181.68106079,110638039.99286652,66478459.20820618,68300365.87219238,73898963.0677948,84340219.8393364,86143978.97758484,42481382.81326294,62654761.7410202,93446851.37155914,119539716.38805772,193379864.41574097,101086956.8107605,97158794.87953186,70573464.3891716,125599249.68643188,98581321.92192078,86604794.6647644,76990339.75944519,122440223.17237854,109837265.07492064,100145615.53611755,98559694.60334778,58260012.97073364,66146949.3508873,159981678.86886597,88790323.36845398,45505835.82305908,49303249.76463318,64947286.31057739,101809150.26283264,62333739.35813904,60725892.17758179,46831268.85719299,35040882.654953,71186980.24597168,60884627.87361145,64654725.36582947,64459479.05693054,39749307.81364441,54934781.41937256,37043011.364746094,77254556.38504028,40455118.212127686,61311663.54484558,76964168.71528625
TROW,126278364.02650832,66722612.40788269,66931214.32243729,82490521.20941162,72233468.85438156,77268107.44709396,57190366.46354675,66543428.32744217,57742670.43252564,49403361.16478729,51715457.203502655,30406185.7342186,46343544.07996368,90499583.64207076,94113629.61216354,75286362.8010025,68612535.38220596,49288232.22955322,112285358.25595856,87190342.30737686,50361346.01212311,82951914.61031723,39371486.05680847,71506300.56993103,90921817.1019554,113383287.27943802,94530937.27568436,89778672.7383728,188035171.884182,219832860.28352737,119171745.40959167,137452677.4435463,183559006.3507843,168833652.57507324,187030852.5613098,189038527.87246323,183306844.04283905,104639796.26984406,70334395.98425293,75316207.30979156,194230086.24040604,122999035.69102097,76186776.76992798,72705917.67152023,58975533.81896973,61306952.635707855,83314979.05003738,54928733.659275055,90581199.84938432,75575085.61499405,63345572.692790985,63340962.79817963,51534848.36576843,81103263.39807129,112410382.71326448,55012209.83926773,76621890.21592331,44260409.04244995,50501221.24423218,123350930.83143234,89311027.5613823
HON,282179681.4592247,272782841.57987595,266582002.4433136,189813059.16182327,360067030.7588577,247848474.96862796,215865592.46088028,194800494.11975095,228657756.2339516,98222986.77444458,279443507.99354553,179912382.69755554,165058621.6435547,199871174.6491127,219972327.06985477,372420686.5222016,281195538.72413254,315881225.6582794,327741196.6194153,280642390.43549347,427307537.9271393,475802014.3548355,229144798.4725952,298680648.98269653,350534776.770813,502270141.97398,364433869.7230873,289665937.8649063,380712626.44078827,496386404.4469757,338885353.406044,264098590.4469109,295140166.5428314,267490900.89358905,331904919.35920715,314897880.2347069,439257960.8215637,222828328.52973935,224271491.1151352,246388730.87183,546773277.7228355,369403194.914444,201849519.28329468,174168633.87184143,213821495.38269043,206376241.8849945,215959138.7599945,213438255.10422897,192429124.18403625,150034697.08137512,182821831.65855408,220154016.30821228,188114904.07562256,213451770.105896,252216456.20536804,183727905.31845093,127555446.83761597,110180014.47555542,129737597.55645752,229554016.38145447,297597823.2460022
EMC,579658374.7520924,532982297.3365936,540983129.6985435,560837534.0611515,442625446.80301857,591172766.5198555,425712854.1922093,506656431.3457737,499477059.0796604,490013618.1836224,554355658.5238552,375734133.76488686,659639015.8581028,601485830.5311813,510363043.954277,1337596293.0854893,751436289.1844616,409491562.7000141,561074468.5276222,583203625.9199657,866794866.0497761,580881883.5559063,616057171.4838715,1053488597.7567672,856513310.9788685,1088311529.7905197,1034654995.0123596,508703573.2679672,657483004.7080002,705328524.6472187,680426791.5868759,653250307.8809738,825217917.9897308,1113694871.6182709,723573919.8820114,754183052.6590347,1077556771.326065,1249293402.6456833,2279771518.9902306,1089844253.187807,1186586562.5469208,622810196.1867714,559290575.1834564,999059646.4078904,1207357868.7891006,726146676.802063,736473657.7026367,691529645.8539753,745736818.3437157,555107873.5751152,391802692.6879883,360702750.1647949,494975434.7002029,562790160.9749069,638293565.3451996,654362472.3398628,551158407.0320415,324567157.14933395,798961693.1579933,610117908.0335541,916516093.676674
FO,93186727.44598389,88945518.34363556,85761886.08932495,100926640.90246582,83447443.68972778,63187965.20889282,42471175.11291504,72395357.47375488,32379041.160583496,19297898.501586918,25818057.458496094,27308404.65232849,51794182.84072876,61426641.68624878,53501386.893463135,52775550.50201416,47066813.3225708,34762353.30734253,32703586.47616577,47533890.715026855,37545489.0953064,74205587.43972778,51386705.7510376,102351265.40298462,90040620.75608063,122959602.97248076,187946762.10054016,125614588.52224731,95154451.60369872,139107926.1563263,85367517.01431274,124142595.40737917,173029422.25430298,196006759.48532104,225591049.6399536,277493216.0993347,179820089.1571045,81203638.53149414,80516696.98257446,80885067.22946167,94501018.66989136,85059224.24697876,43174278.31963349,41831002.20870972,43544926.43814087,53580106.52999878,51753557.74612427,32142799.905395508,30619109.203338623,52085158.90045166,42662399.43008423,33653478.00140381,50830229.122161865,41422144.069480896,49478312.72125244,47435437.478637695,53744669.689941406,48074788.80004883,36613224.350738525,53498256.66732788,66717101.10549927
